date,total_cases,new_cases,total_deaths,new_deaths,life_expectancy,population
2021-06-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-06-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-07-31,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-08-31,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-09-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-10-31,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-11-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2021-12-31,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-10,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-11,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-12,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-13,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-14,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-15,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-16,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-17,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-18,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-19,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-20,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-21,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-22,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-23,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-24,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-25,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-26,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-27,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-28,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-29,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-30,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-01-31,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-01,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-02,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-03,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-04,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-05,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-06,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-07,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-08,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
2022-02-09,2.00000000000001,0.0,0.0,0.0,80.56000000000043,5401.000000000028
